Reporter Name;Partner Name;Trade Flow;Product Group;Indicator;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
United States;Lebanon;Import;Animal;Import (US$ Thousand);44,41;55,154;75,979;81,553;146,382;83,964;102,875;33,765;114,674;60,899
United States;Liberia;Import;Animal;Import (US$ Thousand);;238,048;233,737;113,527;;;;8;3,942;11,677
United States;Libya;Import;Animal;Import (US$ Thousand);20,061;;;;;;;;;
United States;Lithuania;Import;Animal;Import (US$ Thousand);2490,327;2020,104;2465,59;3488,466;2525,984;1718,334;2540,386;4670,804;17476,924;43446,144
United States;Luxembourg;Import;Animal;Import (US$ Thousand);;;;;;33,052;;;70,1;1101,32
United States;Macao;Import;Animal;Import (US$ Thousand);21,198;30,866;;;;;5,738;;;43,851
United States;Macedonia, FYR;Import;Animal;Import (US$ Thousand);13,729;331,833;827,733;767,614;553,246;177,016;104,116;555,253;2169,32;5032,537
United States;Madagascar;Import;Animal;Import (US$ Thousand);773,071;1078,679;502,254;1025,952;330,621;543,789;1002,752;292,885;176,928;342,03
United States;Malawi;Import;Animal;Import (US$ Thousand);66,757;32,265;43,985;34,736;31,128;16,201;18,244;19,61;10,847;30,321
United States;Malaysia;Import;Animal;Import (US$ Thousand);153013,881;152686,43;203272,531;133047,285;190416,56;225669,693;186077,239;94357,653;191048,207;90770,675
United States;Maldives;Import;Animal;Import (US$ Thousand);2095,262;3470,921;2615,91;1291,489;1414,574;3405,262;14598,218;19796,802;32861,949;33445,718
United States;Mali;Import;Animal;Import (US$ Thousand);143,388;136,853;112,281;30,085;4,404;99,97;50,704;19,696;31,598;101,439
United States;Malta;Import;Animal;Import (US$ Thousand);2019,583;2348,147;3487,359;1163,854;1960,391;1060,743;440,367;125,211;152,534;829,592
United States;Marshall Islands;Import;Animal;Import (US$ Thousand);8756,295;6237,196;10792,502;9428,563;7768,262;8075,887;10446,241;8896,241;11483,342;11474,063
United States;Mauritania;Import;Animal;Import (US$ Thousand);33,562;190,803;142,356;233,144;294,91;125,53;215,984;194,4;318,893;335,936
United States;Mauritius;Import;Animal;Import (US$ Thousand);17985,376;14732,978;16757,894;11761,291;13180,399;12581,394;11962,512;8584,634;14549,135;14213,449
United States;Mexico;Import;Animal;Import (US$ Thousand);1124812,104;1160492,164;981379,401;1092902,61;1242519,612;1565666,069;1849787,134;1728783,867;2323972,495;2756446,203
United States;Micronesia, Fed. Sts.;Import;Animal;Import (US$ Thousand);765,864;5472,838;4791,401;5352,128;5032,369;1734,121;287,949;627,801;173,271;251,329
United States;Moldova;Import;Animal;Import (US$ Thousand);87,945;162,938;47,204;48,737;190,986;91,694;130,376;69,526;111,311;32,934
United States;Mongolia;Import;Animal;Import (US$ Thousand);1169,148;1414,926;557,083;1143,494;;;3,4;40;;18,497
United States;Montenegro;Import;Animal;Import (US$ Thousand);;7,58;;3,125;;2,6;;;;
United States;Montserrat;Import;Animal;Import (US$ Thousand);;;;;;;365,821;;;
United States;Morocco;Import;Animal;Import (US$ Thousand);753,636;839,839;867,894;629,368;346,593;510,985;862,604;2313,729;1754,623;4344,587
United States;Mozambique;Import;Animal;Import (US$ Thousand);1828,947;995,455;60,209;492,577;17,006;836,017;286,568;85,42;306,229;104,585
United States;Myanmar;Import;Animal;Import (US$ Thousand);;;;;;;;17717,01;48544,817;38024,339
United States;Namibia;Import;Animal;Import (US$ Thousand);5509,738;7826,761;4366,161;923,106;1247,196;4548,375;5939,964;6993,309;5494,863;237,425
United States;Nauru;Import;Animal;Import (US$ Thousand);;164,661;;;;;;;;
United States;Nepal;Import;Animal;Import (US$ Thousand);;;7,814;9,35;42,175;9,114;;;;23,169
United States;Netherlands;Import;Animal;Import (US$ Thousand);203718,258;215008,711;205860,039;193027,047;233172,008;289107,697;230967,901;250841,114;294613,191;306722,785
United States;Netherlands Antilles;Import;Animal;Import (US$ Thousand);14,469;84,635;;6,001;;;;;;
United States;New Caledonia;Import;Animal;Import (US$ Thousand);6406,172;1516,276;3115,234;283,711;774,201;1266,709;708,652;541,493;618,063;307,614
United States;New Zealand;Import;Animal;Import (US$ Thousand);1257368,781;1182918,023;1324470,742;1113385,882;1217297,251;1431928,052;1477167,951;1439669,161;1835511,583;2079949,785
United States;Nicaragua;Import;Animal;Import (US$ Thousand);156552,966;187958,764;200690,388;171798,367;208249,747;270855,26;241446,431;226631,828;353498,765;305520,558
United States;Niger;Import;Animal;Import (US$ Thousand);69,97;11,222;10,01;27,516;7,333;4,81;;;;
United States;Nigeria;Import;Animal;Import (US$ Thousand);627,482;1725,289;1089,997;1873,127;1949,675;3180,282;3335,793;4843,891;5307,334;5257,878
United States;Niue;Import;Animal;Import (US$ Thousand);;450,713;;;;;;;;
United States;Norway;Import;Animal;Import (US$ Thousand);169608,126;199037,413;164668,101;374981,589;558270,393;368437,206;269121,866;338056,271;499063,114;568810,111
United States;Occ.Pal.Terr;Import;Animal;Import (US$ Thousand);;;;;;;;8,613;26,433;
United States;Oman;Import;Animal;Import (US$ Thousand);1995,158;2124,816;1557,703;697,854;348,947;125,387;117,756;101,428;48,769;
United States;Other Asia, nes;Import;Animal;Import (US$ Thousand);149273,028;160319,594;181084,846;147315,301;148695,024;177447,212;168460,526;145700,2;167921,038;177052,4
United States;Pakistan;Import;Animal;Import (US$ Thousand);3419,958;3028,021;4385,899;2873,373;3698,92;5065,57;3927,456;3534,075;3423,022;2655,788
United States;Palau;Import;Animal;Import (US$ Thousand);960,209;558,686;;;3,664;22,875;15,986;38,918;101,589;165,568
United States;Panama;Import;Animal;Import (US$ Thousand);111718,548;110488,587;105945,915;80697,004;92710,018;87859,959;80524,878;101694,339;101466,456;96679,964
United States;Papua New Guinea;Import;Animal;Import (US$ Thousand);1007,981;1531,745;1127,026;1852,856;495,416;1332,325;1685,198;1224,865;602,606;
United States;Paraguay;Import;Animal;Import (US$ Thousand);3529,912;4668,816;7614,936;7025,801;8310,91;8375,887;7919,67;12133,859;13696,204;14889,74
United States;Peru;Import;Animal;Import (US$ Thousand);54759,945;80314,604;90681,033;108379,757;126700,399;172326,13;187040,167;225937,638;245998,767;226953,365
United States;Philippines;Import;Animal;Import (US$ Thousand);156036,986;155446,017;127143,561;106434,31;116247,754;141041,116;183839,593;133492,642;146062,043;119211,089
United States;Pitcairn;Import;Animal;Import (US$ Thousand);;;123,658;16,356;;;;;;
United States;Poland;Import;Animal;Import (US$ Thousand);23202,551;24802,11;26372,099;40339,039;53731,374;34306,115;36738,115;55007,783;106560,738;109688,477
United States;Portugal;Import;Animal;Import (US$ Thousand);10591,09;10508,351;14632,447;10508,064;10312,807;17549,285;14692,15;14379,056;20625,565;30213,277
United States;Qatar;Import;Animal;Import (US$ Thousand);10;;39;65;164,25;26;70;15;101,5;149,341
United States;Romania;Import;Animal;Import (US$ Thousand);1994,252;1251,579;1557,147;3067,56;2748,921;1331,5;1133,974;2508,592;2661,402;5749,586
United States;Russian Federation;Import;Animal;Import (US$ Thousand);389653,82;428559,456;311096,377;299757,163;275161,964;273182,237;231591,855;329803,032;325433,243;322666,124
United States;Saint Helena;Import;Animal;Import (US$ Thousand);982,204;4764,223;9781,127;5913,49;6183,831;7792,487;5825,902;7140,578;8888,759;14492,522
United States;Saint Maarten (Dutch part);Import;Animal;Import (US$ Thousand);;;;;;;7,2;;6,726;3,26
United States;Saint Pierre and Miquelon;Import;Animal;Import (US$ Thousand);1129,072;1354,388;1039,941;796,005;1853,785;209,939;;52,856;;168,642
United States;Samoa;Import;Animal;Import (US$ Thousand);1327,942;1329,867;750,062;873,008;488,115;435,012;261,543;12,179;;693,998
United States;Sao Tome and Principe;Import;Animal;Import (US$ Thousand);33,185;;;;;;;;;
United States;Saudi Arabia;Import;Animal;Import (US$ Thousand);3326,501;1774,759;1058,775;230,608;4973,777;3341,777;2903,869;8,455;565,749;2489,291
United States;Senegal;Import;Animal;Import (US$ Thousand);2645,972;11212,911;1615,286;1227,471;1018,678;1292,264;1988,215;3190,132;3900,81;2512,267
United States;Serbia, FR(Serbia/Montenegro);Import;Animal;Import (US$ Thousand);35,845;32,055;85,631;104,226;209,829;142,439;200,39;153,483;280,767;228,679
United States;Seychelles;Import;Animal;Import (US$ Thousand);262,911;1419,425;;9,289;13,574;63,722;192,04;187,422;208,684;95,019
United States;Sierra Leone;Import;Animal;Import (US$ Thousand);88,558;123,151;209,896;159,416;380,474;219,741;226,196;184,95;286,829;621,921
United States;Singapore;Import;Animal;Import (US$ Thousand);43358,733;39452,935;45247,827;32779,372;36437,122;36687,723;35860,959;20056,759;21036,236;19837,532
United States;Slovak Republic;Import;Animal;Import (US$ Thousand);935,06;1219,09;1329,191;771,306;508,298;633,501;515,987;885,39;1213,194;1808,854
