Reporter Name;Partner Name;Trade Flow;Product Group;Indicator;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
United States;Dominican Republic;Export;Vegetable;Export (US$ Thousand);323180,656;406160,838;588740,938;422775,102;516974,89;638510,782;464328,867;366085,294;544031,019;406413,979
United States;East Timor;Export;Vegetable;Export (US$ Thousand);193,315;607,503;224,072;57,198;;6443,815;;104,958;;
United States;Ecuador;Export;Vegetable;Export (US$ Thousand);75837,679;140106,793;119336,469;117860,984;91135,581;130610,76;163115,966;99824,594;145035,907;102692,864
United States;Egypt, Arab Rep.;Export;Vegetable;Export (US$ Thousand);814497,281;1594169,888;1741066,152;1057885,131;1638425,025;1936652,201;1252089,156;945278,878;1175116,307;503864,429
United States;El Salvador;Export;Vegetable;Export (US$ Thousand);148977,024;192721,407;272093,823;216474,974;215984,542;337999,451;246906,05;196698,719;245461,08;215555,856
United States;Equatorial Guinea;Export;Vegetable;Export (US$ Thousand);351,078;1590,806;72,28;467,913;501,483;2944,435;534,542;564,399;303,446;216,154
United States;Eritrea;Export;Vegetable;Export (US$ Thousand);4936,907;;5671,978;3939,842;;;;;;
United States;Estonia;Export;Vegetable;Export (US$ Thousand);1858,37;4148,888;4672,46;3375,442;6197,192;6131,262;4948,376;7844,53;11464,919;9260,341
United States;Ethiopia(excludes Eritrea);Export;Vegetable;Export (US$ Thousand);46054,705;88792,126;155821,981;89114,475;144560,619;97378,154;79338,797;61516,11;76678,225;91054,121
United States;Faeroe Islands;Export;Vegetable;Export (US$ Thousand);8,122;33,15;142,12;71,71;43,845;;;;;
United States;Falkland Island;Export;Vegetable;Export (US$ Thousand);;;;;;;163,052;5,373;6,935;
United States;Fiji;Export;Vegetable;Export (US$ Thousand);2951,578;2464,519;7328,781;2586,634;4999,28;4710,699;6503,041;8285,897;7041,334;8010,61
United States;Finland;Export;Vegetable;Export (US$ Thousand);15685,784;14765,912;19540,895;20539,986;17642,035;22015,303;18470,019;56427,557;47298,495;43759,848
United States;Fm Sudan;Export;Vegetable;Export (US$ Thousand);69393,279;58160,487;134409,616;65729,237;94169,775;62647,606;;;;
United States;Fr. So. Ant. Tr;Export;Vegetable;Export (US$ Thousand);;;;3,612;;;3,063;;29,496;
United States;France;Export;Vegetable;Export (US$ Thousand);262859,219;318766,105;308225,852;214577,781;306091,737;336336,802;249429,195;364275,996;356591,924;375845,523
United States;French Polynesia;Export;Vegetable;Export (US$ Thousand);5215,83;6177,508;6635,286;6051,655;6188,972;6068,011;7400,014;7194,813;7483,31;5859,028
