Reporter Name;Partner Name;Trade Flow;Product Group;Indicator;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
United States;Morocco;Export;Animal;Export (US$ Thousand);4946,698;23023,092;85991,631;22603,592;66156,078;58524,137;72552,772;117618,595;99328,218;6276,222
United States;Mozambique;Export;Animal;Export (US$ Thousand);139,763;567,399;1310,518;264,674;1351,731;2931,037;2911,592;2660,7;3474,355;1611,958
United States;Myanmar;Export;Animal;Export (US$ Thousand);;201,714;;;662,862;1834,43;431,815;839,593;3929,32;2132,546
United States;Namibia;Export;Animal;Export (US$ Thousand);246,248;207,199;943,844;902,828;768,544;7463,579;5005,941;3669,298;3065,978;1379,31
United States;Nauru;Export;Animal;Export (US$ Thousand);1989,4;6385,6;6342,968;2844,82;1126,124;;;;;
United States;Nepal;Export;Animal;Export (US$ Thousand);;;11,4;4,65;15,301;125,656;808,431;515,188;831,982;238,756
United States;Netherlands;Export;Animal;Export (US$ Thousand);202159,06;242140,277;272216,572;226262,007;328963,484;392831,947;384816,002;377362,355;399990,947;421768,643
United States;Netherlands Antilles;Export;Animal;Export (US$ Thousand);12081,648;14357,447;22965,524;29512,098;;;;;;
United States;New Caledonia;Export;Animal;Export (US$ Thousand);3301,909;5528,678;7023,605;7410,913;6974,684;7490,487;5362,515;7497,21;7501,147;4859,39
United States;New Zealand;Export;Animal;Export (US$ Thousand);19663,598;31782,594;27003,904;52224,404;62633,586;51583,84;82621,533;89060,202;81125,37;67996,288
United States;Nicaragua;Export;Animal;Export (US$ Thousand);7488,893;8859,115;11565,213;9798,44;12207,216;19216,825;24219,294;22281,544;28425,342;29841,422
United States;Niger;Export;Animal;Export (US$ Thousand);285,8;624,761;1009,462;898,869;162,288;307,336;144,973;479,643;276,596;2422,315
United States;Nigeria;Export;Animal;Export (US$ Thousand);9040,48;8277,362;8884,179;10296,716;3882,878;21678,914;7896,154;21444,324;12509,647;20353,232
United States;Niue;Export;Animal;Export (US$ Thousand);25;15;20;105;25;20;;20;;
United States;Norfolk Island;Export;Animal;Export (US$ Thousand);1143,643;861,235;2052,127;138,89;182,534;;;;;
United States;Norway;Export;Animal;Export (US$ Thousand);27307,946;39383,939;30530,442;20541,572;22355,192;18416,582;14651,657;8230,748;8722,312;9687,178
United States;Occ.Pal.Terr;Export;Animal;Export (US$ Thousand);;;75;;;;19,2;;;
United States;Oman;Export;Animal;Export (US$ Thousand);1587,022;1688,32;6449,589;6876,264;9728,02;18011,448;22413,484;21130,595;18520,558;8669,777
United States;Other Asia, nes;Export;Animal;Export (US$ Thousand);248535,764;249660,506;315447,97;341127,133;451939,755;456928,562;444247,214;568637,911;590324,709;645229,87
United States;Pakistan;Export;Animal;Export (US$ Thousand);13669,387;16837,432;18114,229;24483,005;59815,239;64179,559;59145,199;46820,946;43001,654;75994,67
United States;Palau;Export;Animal;Export (US$ Thousand);1166,08;1824,699;1681,878;1561,015;1563,408;1954,047;2010,348;1961,676;1981,225;2750,413
United States;Panama;Export;Animal;Export (US$ Thousand);17938,388;27481,667;45490,622;37485,104;43957,915;72409,581;86067,026;111722,583;114270,373;109306,206
United States;Papua New Guinea;Export;Animal;Export (US$ Thousand);16,248;25;2,508;72,15;26,135;38,133;;;23,737;248,828
United States;Paraguay;Export;Animal;Export (US$ Thousand);242,984;436,902;555,465;914,442;1047,907;968,421;921,77;1531,988;2188,453;1913,91
United States;Peru;Export;Animal;Export (US$ Thousand);15949,463;21538,445;33657;26040,341;71037,03;78693,857;116679,81;120844,494;121980,089;114685,086
United States;Philippines;Export;Animal;Export (US$ Thousand);121053,421;190900,933;308572,634;226401,263;361106,925;425440,987;467603,837;530407,629;615693,151;419190,49
United States;Pitcairn;Export;Animal;Export (US$ Thousand);;142,6;;;;;;;;
United States;Poland;Export;Animal;Export (US$ Thousand);43838,017;23282,727;23064,67;23736,631;14365,382;21786,865;16203,479;11812,604;7266,128;4093,206
United States;Portugal;Export;Animal;Export (US$ Thousand);58914,306;64683,199;69828,081;25240,765;39755,695;37843,703;40496,35;20600,899;20803,498;21075,024
United States;Qatar;Export;Animal;Export (US$ Thousand);6040,469;6515,339;12974,45;12793,789;20677,372;32907,675;38145,532;40678,422;48084,421;31678,279
United States;Romania;Export;Animal;Export (US$ Thousand);58660,676;2946,329;3597,783;2611,592;1522,586;856,206;945,83;1127,373;1949,838;1300,578
